typology_a,typology_b,shared_members,size_a,size_b,shared_rcs
TertiarySectorServices,WrittenInfo,8,2560,1919,Brand;EnglishLanguageEducation;FederalTaxReturn;GermanLanguageEducation;RussianLanguageEducation;SpanishLanguageEducation;TaxReturn;ZipCode
TimeTypes,WrittenInfo,8,3679,1919,Command;EnglishSpelling;GeorgianCalligraphy;GrammarChecker;MetaphorsReferringToWarAndViolence;NonstandardSpelling;Spelling;SpellingCompetition
AVInfo,SituationTypes,9,1425,2311,Backlit;Comedy;ExperimentalMovie;Gesture;HandGesture;Parody;RoastComedy;Silhouetted;SituationalComedy
ActionTypes,Associatives,9,6885,141,AuthenticationEvent;EmailAuthentication;Evidence;Gloss;Testimony;Verification;VerificationOfCredit;VerificationOfEmployment;VerificationOfTruth
Associatives,CopulativeRelations,9,141,7836,AuthenticationEvent;EmailAuthentication;Evidence;Gloss;Testimony;Verification;VerificationOfCredit;VerificationOfEmployment;VerificationOfTruth
Associatives,RelationTypes,9,141,9723,AuthenticationEvent;EmailAuthentication;Evidence;Gloss;Testimony;Verification;VerificationOfCredit;VerificationOfEmployment;VerificationOfTruth
AttributeTypes,Indexes,9,1804,137,NationalSymbol;NationalSymbolOfAlgeria;NationalSymbolOfHerm;NationalSymbolOfNauru;NationalSymbolOfSark;NationalSymbolOfSomalia;NationalSymbolOfThePalestinianNationalAuthority;NationalSymbolOfTheRepublicOfChina;NationalSymbolOfVietnam
AudioInfo,Systems,9,443,12666,AudioMixing;CyberpunkSubgenre;CyberpunkTheme;Cypherpunk;JazzRadio;MusicalComposition_Cyberpunk;OperaGenre;TragediesEnMusique;VideoArt
BiologicalChemistry,Eukaryotes,9,1622,9662,Arrowroot_Starch;CastorBeanSeed;Flour;Fructose;Glucose;Glucoside;RiceFlour;Sugar_Table;WheatFlour
BiologicalChemistry,Plants,9,1622,2330,Arrowroot_Starch;CastorBeanSeed;Flour;Fructose;Glucose;Glucoside;RiceFlour;Sugar_Table;WheatFlour
Concepts,LearningProcesses,9,313,329,CircusSkill;CricketSkill;HolonomicBrainTheory;Intelligence;KnowHow_AgentCapacityQuantity;LifeSkills;Scoutcraft;Skill;StudySkill
Concepts,SecondarySectorProducts,9,313,16016,FreeAccountingSoftware;FreeApplicationSoftware;FreeDataRecoverySoftware;FreeSoftwareProgrammedInAda;Freeware;Freeware3DGraphicsSoftware;FreewareGame;FrillyClothingStyle;WindowsOnlyFreeware
ContextualAttributes,Indexes,9,1504,137,NationalSymbol;NationalSymbolOfAlgeria;NationalSymbolOfHerm;NationalSymbolOfNauru;NationalSymbolOfSark;NationalSymbolOfSomalia;NationalSymbolOfThePalestinianNationalAuthority;NationalSymbolOfTheRepublicOfChina;NationalSymbolOfVietnam
Eukaryotes,RelationTypes,9,9662,9723,Dominatrix;Ejaculation;Foliage;Hungry;Pollination;PollinationManagement;PollinatorDecline;Rice;RiceVariety
Indexes,WrittenInfo,9,137,1919,AreaCode;Full_stop;Index_List_Information;Password;Password_Computer;PersonalIdentificationNumber;PunctuationMark;TelephoneNumberingPlan;ZipCode
IntrinsicAttributes,Systems,9,256,12666,Beauty;Black_EyeColor;Blue_EyeColor;Brown_EyeColor;Component;Gray_EyeColor;Green_EyeColor;Hazel_EyeColor;Instinct
LearningProcesses,SecondarySectorProducts,9,329,16016,AtomicLineFilter;Band_passFilter;DistributedElementFilter;LearningManagementSystem;PitchModificationSoftware;RadarSignalProcessing;SignalFilter;VirtualLearningEnvironment;WaveguideFilter
Shapes,Systems,9,260,12666,AutomobileWheel;BloodDiamond;BotulinumToxin_Aerosolized;DiamondSimulant;Diamond_Gem;FinalStellationOfTheIcosahedron;IndividualDiamond;Stellation;SyntheticDiamond
SituationTypes,VisualInfo,9,2311,990,Backlit;Comedy;ExperimentalMovie;Gesture;HandGesture;Parody;RoastComedy;Silhouetted;SituationalComedy
SpaceTypes,StructuredInfo,9,9280,1695,BoundedDirectedAcyclicGraph;ComputerDisplayActiveArea;ComputerDisplayMenuItem;ComputerDisplayScreenRegion;DropDownBox;NetworkFlowSystem_Bounded;VehicleRegistrationPlate;WebRing;XPath
