id,object,relatesTo
rc:PersonWithOccupation,rc:BusinessRelatedThing,kko:relatesToEconomicSystems
rc:PersonalQuantity,rc:PersonalAttribute,kko:relatesToIntrinsicAttributes
rc:Personhood,rc:IndependentThing,kko:relatesToConcepts
rc:PhysicalContactEvent,rc:PhysicalContactSituation,kko:relatesToSituationTypes
rc:PhysicalCreationOrDestructionEvent,rc:PhysicalChangeAttribute,kko:relatesToAdjunctualAttributes
rc:PhysicalPartOfObject,rc:Parts,kko:relatesToDirectRelations
rc:PhysicalTransformationEvent,rc:PhysicalChangeAttribute,kko:relatesToAdjunctualAttributes
rc:PhysiologicalCondition,rc:AbnormalSystemCondition,kko:relatesToSituationTypes
rc:PhysiologicalCondition,rc:PhysicalSituation,kko:relatesToSituationTypes
rc:Pier,rc:LinearObject_Tangible,kko:relatesToShapes
rc:PipingSystem_Generic,rc:CustomarySystemOfLinks,kko:relatesToShapes
rc:PlanetCrust,rc:OutdoorLocation,kko:relatesToPlaces
rc:PlantBLO,rc:BiologicalLivingObject,kko:relatesToLivingThings
rc:PlantBLO,rc:KingdomPlantae,kko:relatesToLivingThings
rc:Plantae,rc:MulticellularOrganism,kko:relatesToLivingThings
rc:Plateau,rc:SurfaceLayer_TopSurface,kko:relatesToShapes
rc:Platform,rc:SupportSurface,kko:relatesToShapes
rc:PolymerMolecule,rc:MolecularStuff,kko:relatesToManifestations
rc:PowerSaw,rc:DangerousThing,kko:relatesToConcepts
rc:PreciousMetal,rc:Metal,kko:relatesToNaturalSubstances
rc:PreparedFood,rc:FoodAndDrinkPreparation,kko:relatesToActionTypes
rc:PreventingFromHappening,rc:InhibitionSituation,kko:relatesToSituationTypes
rc:Prion,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:Prize,rc:AwardAttribute,kko:relatesToAdjunctualAttributes
rc:ProbabilityInterval,rc:QualificationAttribute,kko:relatesToIntrinsicAttributes
rc:ProcessType,rc:TemporalStuffType,kko:relatesToConcepts
rc:ProcessedFood,rc:FoodAndDrinkPreparation,kko:relatesToActionTypes
rc:Produce,rc:Food,kko:relatesToFoodDrink
rc:ProkaryoticCell,rc:MoneraKingdom,kko:relatesToLivingThings
rc:ProtistBLO,rc:BiologicalLivingObject,kko:relatesToLivingThings
rc:ProtistBLO,rc:KingdomProtista,kko:relatesToLivingThings
rc:Protista,rc:Microorganism,kko:relatesToLivingThings
rc:Quantity,rc:QuantityAttribute,kko:relatesToContextualAttributes
rc:RailroadSwitch,rc:BranchingJunction,kko:relatesToConcepts
rc:Rapids,rc:DangerousThing,kko:relatesToConcepts
rc:RawMaterials,rc:Resource,kko:relatesToConcepts
rc:RecruitingActivity_Military,rc:MilitaryOrganizationConcept,kko:relatesToConcepts
rc:ReleaseOfBiochemicallyHarmfulSubstance,rc:DangerousSituation,kko:relatesToConcepts
rc:ReleaseOfBiochemicallyHarmfulSubstance,rc:EventCausingDistressOrPain,kko:relatesToConcepts
rc:Relish_Food,rc:Lumpy,kko:relatesToForms
rc:RenewableResource,rc:Resource,kko:relatesToConcepts
rc:RhizariaBLO,rc:KingdomRhizaria,kko:relatesToLivingThings
rc:RoadwayInterchange,rc:ArrangementOfLikeObjects,kko:relatesToConcepts
rc:RoadwayJunction,rc:JunctionOfPaths,kko:relatesToConcepts
rc:RomanFrontier,rc:RomanEmpire,kko:relatesToGeopolitical
