id,object,relatesTo
WaterResources,Water,relatesToNaturalSubstances
BiologicalAgentStuff,OrganicMaterial,relatesToOrganicMatter
BiologicalLivingObject,OrganicMaterial,relatesToOrganicMatter
IvoryWorkOfArt,Ivory,relatesToOrganicMatter
OrganicCompound,OrganicMaterial,relatesToOrganicMatter
UrineTest,Urine,relatesToOrganicMatter
LibraryOfCongressClassification,USLibraryOfCongress_Organization,relatesToOrganizations
Monarchy_Topics,Monarchy,relatesToOrganizations
HomoSapiens_asAnimal,HomoSapiens_asPerson,relatesToPersons
PlanetCrust,OutdoorLocation,relatesToPlaces
Art,ArtsCraftsEquipment,relatesToSecondarySectorProducts
AutoPart,NewAutoDealerPartsMarketCategory,relatesToSecondarySectorProducts
AnimalBLO,SolidTangibleThing,relatesToShapes
AstronomicalObject,FiniteSpatialThing,relatesToShapes
AtomicNucleus,MicroscopicScaleObject,relatesToShapes
Ball,RoundObject,relatesToShapes
Beam_Construction,RectangularParallelepiped,relatesToShapes
BiologicalLivingObject,FiniteSpatialThing,relatesToShapes
Board_PieceOfWood,LinearObject_Tangible,relatesToShapes
Bottle,Bottle_Generic,relatesToShapes
Can,CapsuleContainer,relatesToShapes
CellPart,MicroscopicScaleObject,relatesToShapes
ChemicalObject,MicroscopicScaleObject,relatesToShapes
CitrusFruit,RoundObject,relatesToShapes
Coin_US,RoundObject,relatesToShapes
Cone,RoundObject,relatesToShapes
ContainerIndependentShapedThing,FiniteSpatialThing,relatesToShapes
CordlikeObject,LinearObject_Tangible,relatesToShapes
Cross_ConstructionArtifact,CruciformObject,relatesToShapes
Cross_TortureDevice,CruciformObject,relatesToShapes
Crucifix_ChristianSymbol,CruciformObject,relatesToShapes
Cube,RectangularParallelepiped,relatesToShapes
CustomarySystemOfLinks_Comm,CustomarySystemOfLinks,relatesToShapes
Cylinder,RoundObject,relatesToShapes
EarthOrbit,OrbitalPathClass,relatesToShapes
EcologicalRegion,Environment_Generic,relatesToShapes
Ellipse,RoundObject,relatesToShapes
Ellipsoid,RoundObject,relatesToShapes
EllipticalRegion,RoundObject,relatesToShapes
GeographicalThing,SpatialThing,relatesToShapes
GlobalNaturalEnvironment,Environment_Generic,relatesToShapes
Hoop,RoundObject,relatesToShapes
Jellyfish,Radiata,relatesToShapes
LinkageSystem,CustomarySystemOfLinks,relatesToShapes
LongitudeLine,Semiellipse,relatesToShapes
LowEarthOrbit,OrbitalPathClass,relatesToShapes
MediumEarthOrbit,OrbitalPathClass,relatesToShapes
Microorganism,MicroscopicScaleObject,relatesToShapes
Nanotube,MicroscopicScaleObject,relatesToShapes
NaturalResource,Environment_Generic,relatesToShapes
PathArtifactSystem,CustomarySystemOfLinks,relatesToShapes
Pier,LinearObject_Tangible,relatesToShapes
Pipe_GenericConduit,HollowCylindricalObject,relatesToShapes
PipingSystem_Generic,CustomarySystemOfLinks,relatesToShapes
Plateau,SurfaceLayer_TopSurface,relatesToShapes
Platform,SupportSurface,relatesToShapes
Prion,MicroscopicScaleObject,relatesToShapes
Rotunda,RoundObject,relatesToShapes
SemiSolidTangibleThing,FiniteSpatialThing,relatesToShapes
SocialEnvironment,Environment_Generic,relatesToShapes
Solid_StateOfMatter,SolidTangibleThing,relatesToShapes
SolidTangibleArtifact,SolidTangibleThing,relatesToShapes
SubAtomicParticle,MicroscopicScaleObject,relatesToShapes
SurfaceRegion_Finite,FiniteSpatialThing,relatesToShapes
Topsoil,SurfaceLayer_TopSurface,relatesToShapes
Torus,RoundObject,relatesToShapes
MedicalProcedureOrEvent,Situation_Localized,relatesToSituationTypes
PhysicalContactEvent,PhysicalContactSituation,relatesToSituationTypes
PhysiologicalCondition,AbnormalSystemCondition,relatesToSituationTypes
PhysiologicalCondition,PhysicalSituation,relatesToSituationTypes
PreventingFromHappening,InhibitionSituation,relatesToSituationTypes
Communication,Society,relatesToSociety
Cuisine,CulturalThing,relatesToSociety
PersonTypeByEthnicity,Peoples,relatesToSociety
PersonTypeByNationality,Peoples,relatesToSociety
ComputingInformation,Computation,relatesToSymbolic
ClassificationSystem,System,relatesToSystems
Broadcasting,SubscriberService,relatesToTertiarySectorServices
ElectricPower,PublicUtilityService,relatesToTertiarySectorServices
GamblingBettingEstablishment,EntertainmentService,relatesToTertiarySectorServices
TouristAttraction,EntertainmentService,relatesToTertiarySectorServices
WaterTreatment,PublicUtilityService,relatesToTertiarySectorServices
SpatialThing,Spatial_Topic,relatesToTopicsCategories
TransportByMode,Transportation_Topic,relatesToTopicsCategories
TransportSystem,Transportation_Topic,relatesToTopicsCategories
SilentFilmMusic,Movie_Silent,relatesToVisualInfo
