frag_new,frag_old,qid,p,version_status,old_qid,id_type
AnatomicPathologist,,Q3615132,owl:equivalentClass,ADDED,,rc
AncestriesOfIndividuals,,Q8250291,owl:equivalentClass,ADDED,,rc
Anchor,,Q168432,owl:equivalentClass,ADDED,,rc
AncientArchaeologicalSite,,Q7195910,owl:equivalentClass,ADDED,,rc
AncientArmenianPeople,,Q8250358,owl:equivalentClass,ADDED,,rc
AncientCelts,,Q15041855,owl:equivalentClass,ADDED,,rc
AncientCurrency,,Q7068413,owl:equivalentClass,ADDED,,rc
AncientDelos,,Q8250457,owl:equivalentClass,ADDED,,rc
AncientEgyptInPopularCulture,,Q8250466,owl:equivalentClass,ADDED,,rc
AncientGreekCulture,,Q15051107,owl:equivalentClass,ADDED,,rc
AncientIndianForest,,Q8250927,owl:equivalentClass,ADDED,,rc
AncientInternationalRelations,,Q17392071,owl:equivalentClass,ADDED,,rc
AncientMelos,,Q8251044,owl:equivalentClass,ADDED,,rc
AncientNearEastArtAndArchitecture,,Q7412118,owl:equivalentClass,ADDED,,rc
AncientPiracy,,Q25329972,owl:equivalentClass,ADDED,,rc
AncientPottery,,Q8251586,owl:equivalentClass,ADDED,,rc
AncientSalamis,,Q8251361,owl:equivalentClass,ADDED,,rc
AncientSite,,Q101068465,owl:equivalentClass,ADDED,,rc
AncientSpartans,,Q8251459,owl:equivalentClass,ADDED,,rc
AncientSports,,Q8879349,owl:equivalentClass,ADDED,,rc
AncientThrace,,Q7472496,owl:equivalentClass,ADDED,,rc
AncientVietnam,,Q8251434,owl:equivalentClass,ADDED,,rc
AndeanStudies,,Q8251745,owl:equivalentClass,ADDED,,rc
Andigena,,Q760672,owl:equivalentClass,ADDED,,rc
Andreaeobryopsida,,Q21445870,owl:equivalentClass,ADDED,,rc
Andreaeopsida,,Q14923875,owl:equivalentClass,ADDED,,rc
AneurysmOrDissection,,Q189389,owl:equivalentClass,ADDED,,rc
Angle,,Q11352,owl:equivalentClass,ADDED,,rc
AnglicanDenomination,,Q8252538,owl:equivalentClass,ADDED,,rc
AnglicanEcclesiasticalOffice,,Q8252554,owl:equivalentClass,ADDED,,rc
AnglicanEcumenism,,Q8252562,owl:equivalentClass,ADDED,,rc
AnglicanEducation,,Q8252555,owl:equivalentClass,ADDED,,rc
AnglicanHeraldry,,Q8252563,owl:equivalentClass,ADDED,,rc
AnglicanPerson,,Q8252747,owl:equivalentClass,ADDED,,rc
AnglicanTheologyAndDoctrine,,Q8252657,owl:equivalentClass,ADDED,,rc
AngloScots,,Q8252795,owl:equivalentClass,ADDED,,rc
AngolanKongoPeople,,Q8252876,owl:equivalentClass,ADDED,,rc
Anguillicolidae,,Q2785147,owl:equivalentClass,ADDED,,rc
Anguinidae,,Q2849790,owl:equivalentClass,ADDED,,rc
Anhima,,Q10733978,owl:equivalentClass,ADDED,,rc
AnimalActivity,,Q343542,owl:equivalentClass,ADDED,,rc
AnimalBasedSeafood,,Q1456777,owl:equivalentClass,ADDED,,rc
AnimalContainmentHabitat,,Q8326511,owl:equivalentClass,ADDED,,rc
AnimalGenetics,,Q18176219,owl:equivalentClass,ADDED,,rc
AnimalHealth,,Q64812946,owl:equivalentClass,ADDED,,rc
AnimalHealthInTheUnitedKingdom,,Q8253497,owl:equivalentClass,ADDED,,rc
AnimalIntelligence,,Q109615564,owl:equivalentClass,ADDED,,rc
AnimalMaterial,,Q28969325,owl:equivalentClass,ADDED,,rc
