s,p,o
rc:FoodServiceOrganization,owl:equivalentClass,http://schema.org/FoodEstablishment
rc:FrequentlyAskedQuestionsList,kko:superClassOf,http://schema.org/QAPage
rc:Funds,kko:superClassOf,http://schema.org/InvestmentFund
rc:Fungus,owl:equivalentClass,http://schema.org/Fungus
rc:FurnitureStore,owl:equivalentClass,http://schema.org/FurnitureStore
rc:Gallery_ArtDisplayOrganization,owl:equivalentClass,http://schema.org/ArtGallery
rc:Game,owl:equivalentClass,http://schema.org/Game
rc:GatedCommunity,owl:equivalentClass,http://schema.org/GatedResidenceCommunity
rc:Geocode,owl:equivalentClass,http://schema.org/GeoCoordinates
rc:Geometry,kko:superClassOf,http://schema.org/GeospatialGeometry
rc:Geriatrics_Field,kko:superClassOf,http://schema.org/Geriatric
rc:GivingAGratuity,owl:equivalentClass,http://schema.org/TipAction
rc:GivingSomething,owl:equivalentClass,http://schema.org/GiveAction
rc:GolfCourse,owl:equivalentClass,http://schema.org/GolfCourse
rc:GovernmentPaidService,rdfs:subClassOf,http://schema.org/GovernmentService
rc:GovernmentalBuilding,owl:equivalentClass,http://schema.org/GovernmentBuilding
rc:GovernmentalOrganization,kko:superClassOf,http://schema.org/GovernmentOffice
rc:GovernmentalOrganization,owl:equivalentClass,http://schema.org/GovernmentOrganization
rc:Graveyard,owl:equivalentClass,http://schema.org/Cemetery
rc:GroceryStore,owl:equivalentClass,http://schema.org/GroceryStore
rc:Group,kko:superClassOf,http://schema.org/ProgramMembership
rc:GroupTransferIn,kko:superClassOf,http://schema.org/JoinAction
rc:Guideline,kko:superClassOf,http://schema.org/MedicalGuideline
rc:Guideline,kko:superClassOf,http://schema.org/MedicalGuidelineContraindication
rc:Guideline,kko:superClassOf,http://schema.org/MedicalGuidelineRecommendation
rc:Gymnasium_Facility,owl:equivalentClass,http://schema.org/ExerciseGym
rc:Gynecology,kko:superClassOf,http://schema.org/Gynecologic
rc:HVACBusiness,owl:equivalentClass,http://schema.org/HVACBusiness
rc:HairSalon,owl:equivalentClass,http://schema.org/BeautySalon
rc:HairSalon,owl:equivalentClass,http://schema.org/HairSalon
rc:HardwareStore,owl:equivalentClass,http://schema.org/HardwareStore
rc:Head_AnimalBodyPart,owl:equivalentClass,http://schema.org/Head
rc:HealthCare,kko:superClassOf,http://schema.org/LifestyleModification
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalEntity
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalEvidenceLevel
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalRiskCalculator
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalRiskEstimator
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalRiskFactor
rc:HealthCare,kko:superClassOf,http://schema.org/MedicalRiskScore
rc:HealthCare,kko:superClassOf,http://schema.org/WesternConventional
rc:HealthClub,owl:equivalentClass,http://schema.org/HealthClub
rc:HighSchool,owl:equivalentClass,http://schema.org/HighSchool
rc:HigherEducationInstitution,kko:superClassOf,http://schema.org/CollegeOrUniversity
rc:HinduTemple,owl:equivalentClass,http://schema.org/HinduTemple
rc:HistoricBuilding,rdfs:subClassOf,http://schema.org/LandmarksOrHistoricalBuildings
rc:HobbyShop,owl:equivalentClass,http://schema.org/HobbyShop
rc:HomeBuilder,rdfs:subClassOf,http://schema.org/GeneralContractor
rc:HomeGoodsStore,owl:equivalentClass,http://schema.org/HomeGoodsStore
rc:Hospital,owl:equivalentClass,http://schema.org/Hospital
rc:Hostel,owl:equivalentClass,http://schema.org/Hostel
rc:Hotel,owl:equivalentClass,http://schema.org/Hotel
rc:HotelOrganization,owl:equivalentClass,http://schema.org/Hotel
rc:HotelReservation,owl:equivalentClass,http://schema.org/LodgingReservation
rc:HotelRoom,owl:equivalentClass,http://schema.org/HotelRoom
rc:House_Modern,owl:equivalentClass,http://schema.org/House
rc:Housepainter,owl:equivalentClass,http://schema.org/HousePainter
rc:HumanLanguage,owl:equivalentClass,http://schema.org/Language
rc:Hyperlink,kko:superClassOf,http://schema.org/LinkRole
rc:IBOCreation,kko:superClassOf,http://schema.org/PublicationEvent
rc:IDString,kko:superClassOf,http://schema.org/MedicalCode
rc:IceCreamParlor,owl:equivalentClass,http://schema.org/IceCreamShop
rc:IgnoringSomething,owl:equivalentClass,http://schema.org/IgnoreAction
rc:ImageGallery,owl:equivalentClass,http://schema.org/ImageGallery
rc:Indication,owl:equivalentClass,http://schema.org/MedicalIndication
rc:IndoorShoppingMall,owl:equivalentClass,http://schema.org/ShoppingCenter
rc:InformationAdding,owl:equivalentClass,http://schema.org/AddAction
rc:InformationRemoving,rdfs:subClassOf,http://schema.org/DeleteAction
rc:InformationUpdating,kko:superClassOf,http://schema.org/PrependAction
rc:InformationUpdating,rdfs:subClassOf,http://schema.org/AppendAction
rc:InformationUpdating,rdfs:subClassOf,http://schema.org/UpdateAction
rc:Informing,owl:equivalentClass,http://schema.org/InformAction
rc:Ingesting,rdfs:subClassOf,http://schema.org/ConsumeAction
rc:InsertingARecordIntoADatabase,rdfs:subClassOf,http://schema.org/InsertAction
rc:InstallingAnObject,rdfs:subClassOf,http://schema.org/InstallAction
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowTo
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowToDirection
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowToItem
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowToSection
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowToStep
rc:InstructionalWork,kko:superClassOf,http://schema.org/HowToTip
rc:InsuranceOrganization,kko:superClassOf,http://schema.org/InsuranceAgency
rc:Integer,owl:equivalentClass,http://schema.org/Integer
rc:IntendedAudience_InfoTopic,kko:superClassOf,http://schema.org/BusinessAudience
rc:IntendedAudience_InfoTopic,kko:superClassOf,http://schema.org/EducationalAudience
rc:IntendedAudience_InfoTopic,kko:superClassOf,http://schema.org/MedicalAudience
