kbpedia_id,s,p,o,
http://kbpedia.org/kko/rc/LakeMichigan,LakeMichigan,owl:equivalentClass,http://www.wikidata.org/entity/Q1169,Q1169
http://kbpedia.org/kko/rc/LakeMichiganCircleTour,LakeMichiganCircleTour,owl:equivalentClass,http://www.wikidata.org/entity/Q8580255,Q8580255
http://kbpedia.org/kko/rc/LakeMohave,LakeMohave,owl:equivalentClass,http://www.wikidata.org/entity/Q1801012,Q1801012
http://kbpedia.org/kko/rc/LakeNaivasha,LakeNaivasha,owl:equivalentClass,http://www.wikidata.org/entity/Q1365115,Q1365115
http://kbpedia.org/kko/rc/LakeNakuru,LakeNakuru,owl:equivalentClass,http://www.wikidata.org/entity/Q849508,Q849508
http://kbpedia.org/kko/rc/LakeNasser,LakeNasser,owl:equivalentClass,http://www.wikidata.org/entity/Q182796,Q182796
http://kbpedia.org/kko/rc/LakeNyasa,LakeNyasa,owl:equivalentClass,http://www.wikidata.org/entity/Q5532,Q5532
http://kbpedia.org/kko/rc/LakeOfTheWoods,LakeOfTheWoods,owl:equivalentClass,http://www.wikidata.org/entity/Q845876,Q845876
http://kbpedia.org/kko/rc/LakeOkeechobee,LakeOkeechobee,owl:equivalentClass,http://www.wikidata.org/entity/Q202905,Q202905
http://kbpedia.org/kko/rc/LakeOntario,LakeOntario,owl:equivalentClass,http://www.wikidata.org/entity/Q1062,Q1062
http://kbpedia.org/kko/rc/LakePlacid,LakePlacid,owl:equivalentClass,http://www.wikidata.org/entity/Q1801051,Q1801051
http://kbpedia.org/kko/rc/LakePowell,LakePowell,owl:equivalentClass,http://www.wikidata.org/entity/Q667507,Q667507
http://kbpedia.org/kko/rc/LakeRoosevelt,LakeRoosevelt,owl:equivalentClass,http://www.wikidata.org/entity/Q3042661,Q3042661
http://kbpedia.org/kko/rc/LakeSaintClair,LakeSaintClair,owl:equivalentClass,http://www.wikidata.org/entity/Q736707,Q736707
http://kbpedia.org/kko/rc/LakeSevan,LakeSevan,owl:equivalentClass,http://www.wikidata.org/entity/Q181932,Q181932
http://kbpedia.org/kko/rc/LakesPlainLanguage,LakesPlainLanguage,owl:equivalentClass,http://www.wikidata.org/entity/Q6478969,Q6478969
http://kbpedia.org/kko/rc/LakeSturgeon,LakeSturgeon,owl:equivalentClass,http://www.wikidata.org/entity/Q1387932,Q1387932
http://kbpedia.org/kko/rc/LakeSuperior,LakeSuperior,owl:equivalentClass,http://www.wikidata.org/entity/Q1066,Q1066
http://kbpedia.org/kko/rc/LakeSuperiorCircleTour,LakeSuperiorCircleTour,owl:equivalentClass,http://www.wikidata.org/entity/Q8580274,Q8580274
http://kbpedia.org/kko/rc/LakeSurfing,LakeSurfing,owl:equivalentClass,http://www.wikidata.org/entity/Q6478683,Q6478683
http://kbpedia.org/kko/rc/LakeTahoe,LakeTahoe,owl:equivalentClass,http://www.wikidata.org/entity/Q169962,Q169962
http://kbpedia.org/kko/rc/LakeTanganyika,LakeTanganyika,owl:equivalentClass,http://www.wikidata.org/entity/Q5511,Q5511
http://kbpedia.org/kko/rc/LakeTiticaca,LakeTiticaca,owl:equivalentClass,http://www.wikidata.org/entity/Q35342,Q35342
http://kbpedia.org/kko/rc/LakeTravis,LakeTravis,owl:equivalentClass,http://www.wikidata.org/entity/Q1625606,Q1625606
http://kbpedia.org/kko/rc/LakeVictoria,LakeVictoria,owl:equivalentClass,http://www.wikidata.org/entity/Q5505,Q5505
http://kbpedia.org/kko/rc/LakeVolta,LakeVolta,owl:equivalentClass,http://www.wikidata.org/entity/Q201679,Q201679
http://kbpedia.org/kko/rc/LakeVostok,LakeVostok,owl:equivalentClass,http://www.wikidata.org/entity/Q152044,Q152044
http://kbpedia.org/kko/rc/LakeWinnipeg,LakeWinnipeg,owl:equivalentClass,http://www.wikidata.org/entity/Q3272,Q3272
http://kbpedia.org/kko/rc/Lakshadweep,Lakshadweep,owl:equivalentClass,http://www.wikidata.org/entity/Q26927,Q26927
http://kbpedia.org/kko/rc/Lallemantia,Lallemantia,owl:equivalentClass,http://www.wikidata.org/entity/Q2377587,Q2377587
http://kbpedia.org/kko/rc/LallemantiaCanescens,LallemantiaCanescens,owl:equivalentClass,http://www.wikidata.org/entity/Q1133426,Q1133426
http://kbpedia.org/kko/rc/LallemantiaIberica,LallemantiaIberica,owl:equivalentClass,http://www.wikidata.org/entity/Q838540,Q838540
http://kbpedia.org/kko/rc/LamaFromTibet,LamaFromTibet,owl:equivalentClass,http://www.wikidata.org/entity/Q8581074,Q8581074
http://kbpedia.org/kko/rc/Lamb,Lamb,owl:equivalentClass,http://www.wikidata.org/entity/Q4575936,Q4575936
http://kbpedia.org/kko/rc/LambdaCalculus,LambdaCalculus,owl:equivalentClass,http://www.wikidata.org/entity/Q242028,Q242028
