id,type,subPropertyOf,domain,range
rc:depth,owl:DatatypeProperty,kko:qualitiesData,kko:Products,xsd:decimal
rc:device,owl:DatatypeProperty,kko:typingsData,rc:SoftwareObject_Individual,xsd:string
rc:dewey_decimal_classification,owl:DatatypeProperty,kko:classificationsData,owl:Thing,xsd:string
rc:diameter,owl:DatatypeProperty,kko:qualitiesData,rc:UnitOfMeasure,xsd:decimal
rc:discharge,owl:DatatypeProperty,kko:qualitiesData,rc:BodyOfWater_Area,xsd:decimal
rc:discontinued_date,owl:DatatypeProperty,kko:eventualsData,kko:Products,xsd:string
rc:discount,owl:DatatypeProperty,kko:quantitiesData,rc:Receipt,xsd:decimal
rc:discount_currency,owl:DatatypeProperty,kko:quantitiesData,rc:Receipt,xsd:string
rc:disease_burden,owl:DatatypeProperty,kko:quantitiesData,rc:AilmentCondition,xsd:decimal
rc:dissolution_date,owl:DatatypeProperty,kko:eventualsData,kko:Organizations,
rc:dissolved_abolished_or_demolished,owl:DatatypeProperty,kko:eventualsData,kko:Organizations,xsd:string
rc:distance_from_earth,owl:DatatypeProperty,kko:situantsData,rc:AstronomicalObject,xsd:decimal
rc:door_time,owl:DatatypeProperty,kko:eventualsData,kko:EventTypes,
rc:doubles_record,owl:DatatypeProperty,kko:extrinsicsData,rc:TennisPlayer,xsd:string
rc:downvote_count,owl:DatatypeProperty,kko:quantitiesData,rc:UserComment,xsd:decimal
rc:draft,owl:DatatypeProperty,kko:qualitiesData,rc:Ship,xsd:decimal
rc:drive_wheel_configuration,owl:DatatypeProperty,kko:formsData,rc:Automobile,xsd:string
rc:dropoff_time,owl:DatatypeProperty,kko:eventualsData,rc:Reservation,
rc:dsm_iv_classification,owl:DatatypeProperty,kko:classificationsData,kko:Diseases,xsd:string
rc:duration,owl:DatatypeProperty,kko:eventualsData||kko:qualitiesData,owl:Thing,
rc:duration_of_warranty,owl:DatatypeProperty,kko:quantitiesData,rc:Warranty,xsd:decimal
rc:dynamic_viscosity,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:earliest_date,owl:DatatypeProperty,kko:eventualsData,kko:EventTypes,xsd:string
